A1
00051, 20021, 20051, 20071, 20090
10111, 20141, 20011, 20061, 20080
30031, 20051, 20081, 20101, 20110
40011, 20101, 20121, 20221, 20430
50711, 20151, 20061, 20291, 20000
60011, 20031, 20151, 20101, 20300
80011, 20061, 20001, 20031, 20050
90071, 20091, 20121, 28101, 27020
17051, 27071, 27091, 27111, 27140
27011, 27061, 27081, 27031, 27050
37081, 27101, 27111, 27011, 27100
57121, 27221, 27431, 27711, 27150
57061, 27291, 27001, 27011, 27030
A2
67151, 27101, 27301, 27011, 27060
97001, 27031, 27051, 27071, 27090
97121, 21051, 21061, 21051, 21010
51121, 21431, 21031, 21301, 21060
91051, 21091, 200501, 200601, 200501
501201, 200601, 200701, 22091, 22010
52241, 23051, 23601, 23781, 23020
23041, 23981, 23001, 23021, 23040
33051, 23061, 23071, 23081, 23210
33221, 23021, 23211, 23231, 23240
53251, 23271, 23311, 23411, 23430
63001, 23021, 23031, 23051, 23080
63131, 23111, 23131, 23111, 23140
B1
93171, 23191, 23211, 23301, 23310
46201, 27201, 29201, 24601, 24020
34021, 24211, 24021, 24251, 24050
84111, 24141, 24191, 236001, 232101
532501, 231101, 231401, 231901, 27102
57201, 27111, 27111, 27111, 27185
46111, 26111, 29101, 29111, 29135
59151, 29191, 29111, 28181, 28184
18191, 28191, 28121, 28161, 28165
18131, 28131, 28151, 28151, 28112
18111, 28141, 29981, 28301, 28386
38381, 28391, 28391, 28321, 28318
38341, 28361, 28331, 28351, 28358
B2
01181, 21181, 21181, 21181, 21185
01191, 21191, 21191, 21191, 21195
01121, 21121, 21121, 21131, 21132
01131, 21131, 21151, 21151, 21153
01151, 21161, 21161, 21161, 21164
01161, 21111, 21111, 21111, 21141
18501, 28581, 28581, 28581, 28589
18591, 28591, 28521, 28561, 28536
18551, 28551, 28541, 28541, 27383
37381, 27321, 27331, 27351, 27358
37341, 22151, 22151, 22161, 22163
02181, 22191, 22191, 22231, 22281
02291, 28141, 27331, 27331, 27631
C1
16381, 26391, 27381, 27831, 27897
17891, 27181, 27391, 283181, 283251
383361, 283421, 283941, 283951, 283981
02161, 22111, 22291, 22141, 22122
02121, 22121, 23281, 23281, 23283
03281, 23281, 23291, 23291, 23293
03291, 23291, 23221, 23221, 23223
03231, 23231, 23231, 23231, 23251
03251, 23251, 23251, 23261, 23262
03261, 23261, 23261, 23211, 23212
03211, 23241, 28281, 28281, 28288
08281, 28271, 28271, 28271, 28225
08221, 28291, 28251, 28251, 28265
C2
08231, 28101, 28101, 27321, 27328
78181, 28181, 28181, 28181, 28185
78191, 28191, 28191, 28191, 28195
78121, 28121, 28121, 28131, 28132
78131, 28131, 28151, 28151, 28153
78151, 28161, 28161, 28161, 28164
78161, 28111, 28111, 28111, 28141
37131, 27151, 27151, 27171, 27177
37181, 27181, 26311, 27321, 26020
16051, 26211, 26241, 26281, 21020
17701, 26111, 28141, 28341, 26102
57101, 26311, 27291, 27391, 27783
02131, 22151, 22291, 23191, 23441
